file_id,area,spot,in_out,Participant
0090.wav,westend,leicester,outdoor,S1
0174.wav,kensington,albert,outdoor,S1
0213.wav,kensington,cromwell,outdoor,S1
0320.wav,campus,ground,indoor,S1
0587.wav,westend,national,indoor,S1
0894.wav,campus,reception,indoor,S1
1040.wav,campus,library,outdoor,S1
1047.wav,westend,trafalgar,outdoor,S1
1163.wav,campus,canal,outdoor,S1
1193.wav,westend,market,indoor,S1
1282.wav,westend,charing,indoor,S1
1345.wav,westend,piazza,outdoor,S1
1545.wav,kensington,dinosaur,indoor,S1
1603.wav,kensington,hintze,indoor,S1
2059.wav,campus,curve,indoor,S1
2259.wav,kensington,pond,outdoor,S1
2467.wav,campus,square,outdoor,S1
0254.wav,british,room12,indoor,S10
0261.wav,campus,reception,indoor,S10
0803.wav,westend,charing,indoor,S10
0915.wav,campus,ground,indoor,S10
0930.wav,campus,library,outdoor,S10
0953.wav,campus,square,outdoor,S10
1023.wav,westend,piazza,outdoor,S10
1092.wav,westend,market,indoor,S10
1531.wav,british,greatcourt,indoor,S10
1550.wav,british,square,outdoor,S10
1848.wav,westend,national,indoor,S10
2001.wav,westend,leicester,outdoor,S10
2407.wav,campus,curve,indoor,S10
0160.wav,Euston,forecourt,outdoor,S100
0288.wav,Euston,ritblat,indoor,S100
0697.wav,british,street,outdoor,S100
0818.wav,british,forecourt,outdoor,S100
1085.wav,westend,trafalgar,outdoor,S100
1110.wav,british,square,outdoor,S100
1152.wav,Euston,piazza,outdoor,S100
1219.wav,Euston,gardens,outdoor,S100
1280.wav,british,room12,indoor,S100
1286.wav,westend,leicester,outdoor,S100
1469.wav,Euston,upper,indoor,S100
1512.wav,westend,piazza,outdoor,S100
1780.wav,westend,national,indoor,S100
2159.wav,british,greatcourt,indoor,S100
2227.wav,westend,charing,indoor,S100
2355.wav,westend,market,indoor,S100
2361.wav,Euston,library,indoor,S100
0023.wav,westend,piazza,outdoor,S101
0396.wav,campus,library,outdoor,S101
0456.wav,westend,trafalgar,outdoor,S101
0679.wav,campus,reception,indoor,S101
0713.wav,campus,curve,indoor,S101
0805.wav,campus,square,outdoor,S101
0952.wav,Euston,gardens,outdoor,S101
1111.wav,westend,national,indoor,S101
1340.wav,Euston,forecourt,outdoor,S101
1637.wav,westend,charing,indoor,S101
1804.wav,campus,ground,indoor,S101
1842.wav,Euston,upper,indoor,S101
1943.wav,campus,canal,outdoor,S101
1999.wav,westend,market,indoor,S101
2101.wav,Euston,ritblat,indoor,S101
0033.wav,kensington,pond,outdoor,S102
0214.wav,southbank,food,outdoor,S102
0298.wav,southbank,skate,outdoor,S102
0408.wav,southbank,royal,indoor,S102
0549.wav,campus,canal,outdoor,S102
1090.wav,kensington,hintze,indoor,S102
1338.wav,campus,curve,indoor,S102
1471.wav,kensington,marine,indoor,S102
1501.wav,southbank,book,outdoor,S102
1576.wav,southbank,bridge,outdoor,S102
1580.wav,campus,ground,indoor,S102
1684.wav,kensington,albert,outdoor,S102
2206.wav,campus,square,outdoor,S102
2444.wav,campus,reception,indoor,S102
2463.wav,campus,library,outdoor,S102
0452.wav,campus,curve,indoor,S103
0719.wav,Euston,ritblat,indoor,S103
0765.wav,kensington,albert,outdoor,S103
0889.wav,campus,canal,outdoor,S103
1049.wav,Euston,piazza,outdoor,S103
1108.wav,kensington,marine,indoor,S103
1134.wav,campus,reception,indoor,S103
1681.wav,kensington,hintze,indoor,S103
1741.wav,Euston,gardens,outdoor,S103
1774.wav,campus,library,outdoor,S103
1805.wav,Euston,upper,indoor,S103
1853.wav,Euston,forecourt,outdoor,S103
1971.wav,campus,square,outdoor,S103
2108.wav,Euston,library,indoor,S103
2485.wav,kensington,cromwell,outdoor,S103
0187.wav,westend,trafalgar,outdoor,S104
0420.wav,british,forecourt,outdoor,S104
0594.wav,campus,square,outdoor,S104
0698.wav,british,street,outdoor,S104
0855.wav,campus,ground,indoor,S104
0884.wav,westend,market,indoor,S104
1344.wav,campus,curve,indoor,S104
1701.wav,westend,charing,indoor,S104
1736.wav,british,room12,indoor,S104
1850.wav,campus,library,outdoor,S104
1908.wav,british,greatcourt,indoor,S104
1979.wav,westend,piazza,outdoor,S104
1980.wav,british,square,outdoor,S104
2044.wav,campus,canal,outdoor,S104
2253.wav,westend,leicester,outdoor,S104
2400.wav,westend,national,indoor,S104
0020.wav,british,forecourt,outdoor,S105
0123.wav,westend,national,indoor,S105
0518.wav,campus,square,outdoor,S105
0716.wav,westend,trafalgar,outdoor,S105
1009.wav,campus,reception,indoor,S105
1326.wav,british,square,outdoor,S105
1440.wav,westend,piazza,outdoor,S105
1577.wav,westend,charing,indoor,S105
1618.wav,campus,curve,indoor,S105
1906.wav,westend,leicester,outdoor,S105
1973.wav,campus,ground,indoor,S105
2000.wav,westend,market,indoor,S105
2050.wav,british,street,outdoor,S105
2130.wav,british,greatcourt,indoor,S105
2218.wav,british,room12,indoor,S105
2319.wav,campus,canal,outdoor,S105
2459.wav,campus,library,outdoor,S105
0285.wav,british,street,outdoor,S106
0294.wav,westend,trafalgar,outdoor,S106
0667.wav,campus,library,outdoor,S106
0907.wav,campus,square,outdoor,S106
0919.wav,british,square,outdoor,S106
0998.wav,british,greatcourt,indoor,S106
1143.wav,campus,ground,indoor,S106
1360.wav,westend,piazza,outdoor,S106
1849.wav,campus,curve,indoor,S106
1862.wav,campus,canal,outdoor,S106
2055.wav,westend,market,indoor,S106
2098.wav,british,room12,indoor,S106
2170.wav,westend,national,indoor,S106
2436.wav,westend,leicester,outdoor,S106
0062.wav,campus,library,outdoor,S107
0222.wav,kensington,albert,outdoor,S107
0262.wav,campus,ground,indoor,S107
0280.wav,british,square,outdoor,S107
0414.wav,campus,curve,indoor,S107
0422.wav,british,street,outdoor,S107
0519.wav,campus,square,outdoor,S107
0880.wav,campus,reception,indoor,S107
0992.wav,british,room12,indoor,S107
1275.wav,kensington,pond,outdoor,S107
1420.wav,kensington,marine,indoor,S107
1543.wav,campus,canal,outdoor,S107
1604.wav,kensington,dinosaur,indoor,S107
1788.wav,kensington,hintze,indoor,S107
2152.wav,kensington,cromwell,outdoor,S107
2320.wav,british,greatcourt,indoor,S107
0209.wav,british,square,outdoor,S108
0302.wav,british,greatcourt,indoor,S108
0324.wav,british,room12,indoor,S108
0400.wav,campus,library,outdoor,S108
0556.wav,british,forecourt,outdoor,S108
0604.wav,british,street,outdoor,S108
0979.wav,Euston,library,indoor,S108
1198.wav,campus,square,outdoor,S108
1224.wav,campus,ground,indoor,S108
1352.wav,campus,reception,indoor,S108
2207.wav,campus,canal,outdoor,S108
0248.wav,campus,reception,indoor,S109
0369.wav,southbank,book,outdoor,S109
0531.wav,Euston,upper,indoor,S109
0720.wav,campus,canal,outdoor,S109
0856.wav,Euston,piazza,outdoor,S109
1029.wav,southbank,waterloo,indoor,S109
1057.wav,Euston,library,indoor,S109
1148.wav,southbank,skate,outdoor,S109
1251.wav,Euston,gardens,outdoor,S109
1480.wav,southbank,bridge,outdoor,S109
1564.wav,Euston,forecourt,outdoor,S109
1898.wav,campus,square,outdoor,S109
1931.wav,southbank,food,outdoor,S109
2006.wav,Euston,ritblat,indoor,S109
2246.wav,campus,ground,indoor,S109
2256.wav,campus,curve,indoor,S109
0150.wav,westend,trafalgar,outdoor,S11
0155.wav,westend,national,indoor,S11
0239.wav,campus,square,outdoor,S11
0341.wav,campus,curve,indoor,S11
0403.wav,campus,library,outdoor,S11
0438.wav,westend,leicester,outdoor,S11
0616.wav,campus,reception,indoor,S11
0901.wav,Euston,forecourt,outdoor,S11
0994.wav,westend,charing,indoor,S11
1140.wav,campus,ground,indoor,S11
1327.wav,westend,piazza,outdoor,S11
1399.wav,Euston,gardens,outdoor,S11
1860.wav,Euston,upper,indoor,S11
2133.wav,Euston,piazza,outdoor,S11
2168.wav,westend,market,indoor,S11
2440.wav,Euston,ritblat,indoor,S11
0097.wav,campus,square,outdoor,S110
0195.wav,Euston,piazza,outdoor,S110
0358.wav,Euston,library,indoor,S110
0441.wav,british,room12,indoor,S110
0533.wav,british,square,outdoor,S110
0874.wav,british,forecourt,outdoor,S110
1066.wav,campus,curve,indoor,S110
1109.wav,campus,library,outdoor,S110
1115.wav,british,street,outdoor,S110
1547.wav,Euston,forecourt,outdoor,S110
1553.wav,campus,canal,outdoor,S110
1857.wav,Euston,upper,indoor,S110
2191.wav,british,greatcourt,indoor,S110
2375.wav,Euston,ritblat,indoor,S110
0036.wav,southbank,skate,outdoor,S111
0206.wav,campus,square,outdoor,S111
0620.wav,campus,curve,indoor,S111
0941.wav,campus,canal,outdoor,S111
1325.wav,campus,ground,indoor,S111
1451.wav,southbank,bridge,outdoor,S111
1680.wav,campus,reception,indoor,S111
1794.wav,southbank,food,outdoor,S111
2009.wav,southbank,waterloo,indoor,S111
2031.wav,southbank,book,outdoor,S111
0264.wav,campus,library,outdoor,S112
0537.wav,campus,reception,indoor,S112
0557.wav,british,greatcourt,indoor,S112
0781.wav,british,room12,indoor,S112
0836.wav,campus,curve,indoor,S112
0878.wav,british,street,outdoor,S112
1021.wav,british,forecourt,outdoor,S112
1665.wav,british,square,outdoor,S112
1687.wav,campus,ground,indoor,S112
1896.wav,campus,square,outdoor,S112
2401.wav,campus,canal,outdoor,S112
0162.wav,Euston,upper,indoor,S113
0240.wav,campus,library,outdoor,S113
0348.wav,Euston,piazza,outdoor,S113
0364.wav,Euston,forecourt,outdoor,S113
0372.wav,westend,national,indoor,S113
0547.wav,campus,reception,indoor,S113
0609.wav,westend,trafalgar,outdoor,S113
0656.wav,Euston,library,indoor,S113
0715.wav,Euston,ritblat,indoor,S113
1064.wav,campus,canal,outdoor,S113
1416.wav,campus,curve,indoor,S113
1895.wav,westend,market,indoor,S113
2214.wav,westend,charing,indoor,S113
2235.wav,campus,square,outdoor,S113
2380.wav,Euston,gardens,outdoor,S113
2479.wav,campus,ground,indoor,S113
0412.wav,Euston,ritblat,indoor,S114
0455.wav,campus,canal,outdoor,S114
0460.wav,kensington,hintze,indoor,S114
0558.wav,Euston,gardens,outdoor,S114
0676.wav,campus,curve,indoor,S114
0688.wav,Euston,library,indoor,S114
0968.wav,kensington,dinosaur,indoor,S114
1350.wav,campus,ground,indoor,S114
1430.wav,kensington,pond,outdoor,S114
1539.wav,campus,library,outdoor,S114
1623.wav,Euston,upper,indoor,S114
1721.wav,kensington,albert,outdoor,S114
2267.wav,campus,square,outdoor,S114
2293.wav,Euston,forecourt,outdoor,S114
2438.wav,kensington,cromwell,outdoor,S114
2474.wav,campus,reception,indoor,S114
0030.wav,british,greatcourt,indoor,S115
0167.wav,british,square,outdoor,S115
0215.wav,westend,piazza,outdoor,S115
0271.wav,southbank,skate,outdoor,S115
0335.wav,westend,leicester,outdoor,S115
0449.wav,westend,charing,indoor,S115
0543.wav,southbank,bridge,outdoor,S115
0842.wav,southbank,food,outdoor,S115
1250.wav,southbank,book,outdoor,S115
1355.wav,southbank,royal,indoor,S115
1601.wav,southbank,waterloo,indoor,S115
1738.wav,westend,trafalgar,outdoor,S115
2092.wav,british,forecourt,outdoor,S115
2473.wav,westend,national,indoor,S115
0058.wav,campus,ground,indoor,S116
1162.wav,campus,curve,indoor,S116
0050.wav,campus,square,outdoor,S117
0080.wav,british,street,outdoor,S117
0105.wav,campus,library,outdoor,S117
1033.wav,campus,curve,indoor,S117
1112.wav,campus,reception,indoor,S117
1622.wav,british,greatcourt,indoor,S117
1677.wav,british,square,outdoor,S117
2225.wav,campus,canal,outdoor,S117
2461.wav,british,forecourt,outdoor,S117
0247.wav,southbank,waterloo,indoor,S118
0284.wav,british,greatcourt,indoor,S118
0318.wav,southbank,skate,outdoor,S118
0393.wav,southbank,bridge,outdoor,S118
0478.wav,southbank,food,outdoor,S118
0526.wav,british,forecourt,outdoor,S118
0849.wav,westend,leicester,outdoor,S118
1147.wav,westend,charing,indoor,S118
1450.wav,southbank,book,outdoor,S118
1461.wav,british,square,outdoor,S118
1476.wav,westend,trafalgar,outdoor,S118
1810.wav,westend,national,indoor,S118
1950.wav,southbank,royal,indoor,S118
1987.wav,british,room12,indoor,S118
2299.wav,westend,piazza,outdoor,S118
2329.wav,westend,market,indoor,S118
0133.wav,kensington,hintze,indoor,S119
0145.wav,westend,trafalgar,outdoor,S119
0344.wav,kensington,pond,outdoor,S119
0487.wav,campus,curve,indoor,S119
1015.wav,kensington,dinosaur,indoor,S119
1048.wav,campus,canal,outdoor,S119
1175.wav,campus,library,outdoor,S119
1385.wav,campus,reception,indoor,S119
1667.wav,campus,square,outdoor,S119
1909.wav,campus,ground,indoor,S119
2027.wav,westend,market,indoor,S119
2311.wav,westend,charing,indoor,S119
2325.wav,kensington,marine,indoor,S119
0041.wav,Euston,upper,indoor,S12
0263.wav,campus,canal,outdoor,S12
0538.wav,Euston,piazza,outdoor,S12
0647.wav,campus,ground,indoor,S12
0670.wav,Euston,ritblat,indoor,S12
0735.wav,campus,reception,indoor,S12
0870.wav,westend,charing,indoor,S12
1151.wav,westend,national,indoor,S12
1232.wav,Euston,forecourt,outdoor,S12
